dataset,total_nb_images,total_selected_lightly,size_gb,total_annotated
20220830_HaldenSued_S_10_F_20_O_stra_ID1,4160,15,26.23077063634992,4.0
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID4,2496,111,17.64255090430379,2.0
20230616_TestHerrenpuentSuedwestStreifen3_S_00_F_00_H_12_O_sama_ID3,384,83,2.397175376303494,0.0
20220823_HaldenSued_S_10_F_50_O_stra_ID1,13983,467,90.77481106296182,8.0
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID3,1232,25,8.49268408305943,0.0
20230614_SchneiderWallenwilSoor_S_20_F_60_H_12_O_krma_ID1,14256,662,91.722467510961,16.0
20230614_SchneiderWallenwilStuckli_S_20_F_60_H_12_O_krma_ID1,9968,133,65.94869433809072,13.0
20230614_SchneiderWallenwilZisterwis_S_20_F_60_H_12_O_sama_ID1,12240,585,81.3621970526874,6.0
20230329_Herrenpuent_Suedost_S_70_F_80_O_sama_ID1,7520,206,52.71478508599103,5.0
20230615_SchildOberhofenBuel1_S_20_F_60_H_12_O_krma_ID1,15248,273,104.9631023183465,2.0
20230421_Kuster_S_20_F_50_O_sama_ID1,16064,418,100.24962426163256,2.0
20230609_HerrenpuentSuedwest_S_20_F_60_H_12_O_krma_ID1,8000,360,54.50577669404447,34.0
20230620_HerrenpuentSuedwestStreifen_S_25_F_70_H_10_O_krma_ID1,2880,456,17.173900455236435,14.0
20230425_SchneiderWallenwil_S_20_F_50_O_sama_ID1,7328,602,49.750129552558064,14.0
20230329_Herrenpuent_Suedost_S_20_F_70_O_sama_ID1,3712,134,25.383699271827936,6.0
20230614_SchneiderWallenwilLangwisSued_S_20_F_60_H_12_O_krma_ID1,12656,886,83.6436687335372,23.0
20230425_SchneiderWallenwil_S_20_F_50_O_sama_ID2,1664,273,10.406893907114863,21.0
20230620_HerrenpuentSuedwestTestfield_S_25_F_70_H_12_O_krma_ID3,2272,149,14.466191962361336,13.0
20230426_SchneiderWallenwil_S_20_F_50_O_krma_ID2,8464,324,50.12820436246693,0.0
20220830_HaldenSued_S_70_F_80_O_stra_ID1,11984,555,74.97812401223928,10.0
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID1,3792,152,26.27578683104366,0.0
20230414_Waldegg_S_20_F_50_O_stra_ID1,4080,266,28.484022364020348,0.0
20230609_RuedimoosTaenikon_S_20_F_60_H_12_O_krma_ID1,21120,415,142.43190636113286,12.0
20230426_SchneiderWallenwil_S_20_F_50_O_krma_ID1,17904,1294,115.5235875826329,79.0
20230621_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_sama_ID1,816,180,5.1089485604316,9.0
20230606_HerrenpuentSuedwest_S_20_F_60_H_12_O_sama_ID2,8960,326,61.57143190596253,31.0
20230613_TestfieldHerrenpuentNoMarkers_S_00_F_00_H_12_O_sama_ID1,1344,134,9.001383383758366,1.0
20230620_HerrenpuentSuedwestStreifen_S_25_F_70_H_12_O_krma_ID1,2528,523,15.731602670624852,8.0
20230620_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_krma_ID1,816,207,5.055852077901363,6.0
20230620_HerrenpuentSuedwestTestfield_S_25_F_70_H_12_O_sama_ID4,2272,163,12.52436985913664,22.0
20230606_TestfieldHerrenpuentNord_S_00_F_00_H_12_O_sama_ID1,880,103,6.031610852107406,0.0
20230405_Waldegg_S_20_F_50_O_sama_ID1,3984,254,27.519575911574066,0.0
20230616_HerrenpuentSuedwestTestfield_S_00_F_00_H_12_O_sama_ID2,592,43,3.78500094730407,5.0
20230414_Waldegg_S_10_F_10_O_stra_ID1,2240,202,15.519846194423735,0.0
20230606_TestfieldHerrenpuentNordost_S_20_F_60_H_12_O_sama_ID1,1696,114,11.808089051395656,0.0
20230616_HerrenpuentSuedwestTestfield_S_20_F_60_H_12_O_sama_ID1,1728,108,10.759742209687827,12.0
20230504_HoratRitaUnterviertrlNord_S_20_F_50_O_sama_ID1,3136,239,13.092410024255514,0.0
20230614_SchneiderWallenwilLangwisNord_S_20_F_60_H_12_O_krma_ID1,9200,408,60.24393464624882,6.0
20230613_HerrenpuentTestfieldWithMarkers_S_00_F_00_H_12_O_stra_ID1,1360,106,8.59535865765065,1.0
20230615_SchildDotnachtZaelgli_S_20_F_60_H_12_O_krma_ID1,5952,361,40.31805308815092,184.0
20230609_HerrenpuentSuedost_S_20_F_60_H_12_O_krma_ID1,6288,321,43.37908790726215,48.0
20230616_TestHerrenpuentSuedwestStreifen1_S_00_F_00_H_12_O_sama_ID1,688,83,4.001815153285861,0.0
20230426_SchneiderWallenwilTest_S_20_F_50_O_sama_ID2,192,31,1.3053446970880032,0.0
20220901_HaldenNord_S_10_F_50_O_sama_ID1,9840,32,59.88314013741911,12.0
20230616_TestHerrenpuentSuedwestStreifen2_S_00_F_00_H_12_O_sama_ID2,384,89,2.242137821391225,8.0
20230620_HerrenpuentSuedwestTestfield_S_25_F_70_H_10_O_krma_ID2,3072,158,19.24640436656773,15.0
