dataset,field_label,total_nb_images,total_selected_lightly,total_annotated,selected_lightly_but_not_annotated,unselected_for_annotation,size_gb
20221010_HaldenSued_S_25_F_60_O_sama_ID1,F 1,25552,792,30.0,762.0,24760,156.10614501684904
20230421_SchildHohenegg_S_20_F_50_O_sama_ID1,F 2,24896,526,0.0,526.0,24370,157.8144504679367
20221010_HaldenNord_S_25_F_60_O_sama_ID1,F 3,22592,161,36.0,125.0,22431,169.0333338221535
20230414_Waldegg_S_70_F_80_O_stra_ID1,F 4,22064,895,0.0,895.0,21169,152.22796526830643
20230609_RuedimoosTaenikon_S_20_F_60_H_12_O_krma_ID1,F 5,21120,415,12.0,403.0,20705,142.43190636113286
20230615_SchildOberhofenBuel4_S_20_F_60_H_12_O_krma_ID4,F 6,18288,794,10.0,784.0,17494,127.442534388043
20230615_SchildOberhofenBuel3_S_20_F_60_H_12_O_krma_ID3,F 7,18288,447,9.0,438.0,17841,126.6203421074897
20230426_SchneiderWallenwil_S_20_F_50_O_krma_ID1,F 8,17904,1294,79.0,1215.0,16610,115.5235875826329
20230421_Kuster_S_20_F_50_O_sama_ID1,F 9,16064,418,2.0,416.0,15646,100.24962426163256
20230615_SchildOberhofenBuel2_S_20_F_60_H_12_O_krma_ID2,F 10,15552,245,0.0,245.0,15307,108.37751948833466
20230615_SchildOberhofenBuel1_S_20_F_60_H_12_O_krma_ID1,F 11,15248,273,2.0,271.0,14975,104.9631023183465
20230405_Waldegg_S_70_F_80_O_sama_ID1,F 12,15104,564,0.0,564.0,14540,103.81938258372249
20230614_SchneiderWallenwilSoor_S_20_F_60_H_12_O_krma_ID1,F 13,14256,662,16.0,646.0,13594,91.722467510961
20220823_HaldenSued_S_10_F_50_O_stra_ID1,F 14,13983,467,8.0,459.0,13516,90.77481106296182
20230403_HerrenpuentSuedOst_S_70_F_80_O_sama_ID1,F 15,13680,71,1.0,70.0,13609,91.71303715836255
20230614_SchneiderWallenwilLangwisSued_S_20_F_60_H_12_O_krma_ID1,F 16,12656,886,23.0,863.0,11770,83.6436687335372
